x_tsne,y_tsne
-30.060379,-8.8551655
21.703056,-13.4141445
33.556114,5.895334
-14.45197,24.043903
-31.557781,2.4421043
-5.333084,-0.7368589
18.9992,-5.361355
19.764984,16.390417
-0.8427859,21.349195
13.632285,27.834675
2.4487715,13.44654
-19.184532,-7.6431613
-8.117875,-15.572722
1.2749599,19.391916
19.164799,14.467264
27.510643,0.07753486
31.127699,5.9473233
-8.96269,30.887691
-24.11444,-22.008106
25.348621,22.228252
14.675502,3.019856
3.264323,-10.9579
-11.26882,-30.481295
15.1429,29.768509
-14.467894,-20.927011
10.030491,12.3943205
6.613168,16.311804
11.94021,0.24033472
-3.8277328,-14.162337
31.25237,5.930465
29.933647,-2.180248
5.260488,-3.795142
-5.32526,33.364193
7.832591,-9.669171
13.848806,-16.565134
-17.19609,-11.253581
23.452065,3.509809
11.038579,18.959143
4.8653955,-11.813884
2.634137,-3.8490865
-6.5728354,25.393328
-27.316376,-10.268095
4.119395,-3.647427
19.927029,26.492342
4.691508,-18.777115
2.2171633,0.203928
-7.5915694,-30.340874
-14.944452,4.601558
-11.80344,1.0543895
25.055525,15.751622
-29.59338,8.57317
-14.122063,23.63094
-14.128434,22.552345
8.076315,-6.082016
13.197479,14.031545
14.305719,23.093554
-27.39969,8.484828
18.377312,2.8924997
16.957855,-19.92536
10.494502,-17.945984
-6.270416,27.344503
9.321113,-17.963064
20.031088,12.197893
17.695402,5.8587832
-17.129633,10.5139885
12.857857,13.12978
7.8712254,-14.426203
-12.576103,20.96888
-25.41931,21.328247
-9.354376,26.16323
-14.514642,-5.5376754
-7.80057,-26.078232
-7.578246,23.409079
10.980115,-4.627279
16.83703,-20.957905
11.390235,14.8853035
27.524178,3.301233
6.901426,0.27742222
15.964942,-19.137047
8.913234,-4.8260055
21.547247,20.19693
23.310083,20.904884
-1.8974781,2.8640525
0.17508857,-24.863323
19.71325,16.70134
-30.93485,1.2294596
-15.300888,-28.538475
20.290611,-17.655855
14.841803,11.328919
20.034346,4.809818
-4.2144256,16.42756
23.046917,-18.997927
-12.45906,-21.898455
-22.6094,20.027641
19.223581,15.713119
-9.259358,26.259418
-1.3116599,27.197397
-12.250782,20.0117
25.661161,2.6086519
-10.087119,5.9723988
1.1024841,33.84217
8.844388,-17.859177
-21.141157,-19.804419
24.018991,5.2406316
-12.953321,14.682081
8.152546,-8.404588
-8.47962,-16.449131
-1.962369,35.208206
5.9908504,-14.762314
-28.405975,-18.54356
-26.186852,-7.0851564
7.2681966,5.21513
1.7107614,20.439838
30.566198,8.115456
14.783829,-10.001515
29.596544,-4.7206097
18.109371,8.979663
19.04693,-0.7389669
8.440301,28.076944
-25.150867,-16.242653
-5.4501247,0.93506503
-6.1134253,11.078325
2.555882,-5.2691097
0.6675988,32.733204
4.3575788,-0.73912126
-1.6682332,-15.234927
-21.15638,2.9392598
-0.09852761,-31.92709
-8.556272,14.09424
-21.478165,15.709833
3.8281758,-16.786097
-20.947084,2.5112422
-11.403081,-26.967632
-30.41725,-4.4061613
5.483609,-31.62556
-11.605231,2.5312953
-12.3712435,-12.557325
14.744993,-13.033516
-7.254695,-16.85868
-19.57686,-8.971253
5.8065214,11.333232
17.691586,-26.3066
5.789583,-4.520433
-29.623247,-5.558962
22.260109,3.2306204
-10.815778,-9.433536
15.679012,13.573089
11.761264,23.466572
27.95798,17.119968
-28.788431,-9.68618
10.448532,2.6379688
20.132921,25.75807
1.9880589,10.788332
-10.009342,11.494298
8.697312,-30.957518
2.062782,-1.8664272
10.879203,12.061775
17.088354,-9.99967
-1.0495075,-9.561804
-3.1047616,21.337147
27.265232,4.023699
-0.1568357,32.0596
-3.3254468,1.8418739
-0.30893523,-5.777575
2.0354116,26.541069
-12.658708,-9.291982
7.693004,-14.831603
-7.5634084,-18.548584
30.965246,-6.699799
4.1328187,-4.5027328
8.343141,-22.461136
11.275394,-3.6081467
-8.253553,-10.967741
22.99089,4.6404076
-12.992082,10.4882765
-32.89481,-7.94806
17.39267,23.872408
-17.523228,13.589147
-19.715633,-8.748865
-3.502088,-18.962376
-7.1621284,26.10631
-23.108435,11.364613
12.5160675,-13.766737
-13.26245,-8.174807
-15.977818,-28.558702
-15.153617,-9.543236
-18.37707,-10.316694
17.65769,-27.758957
-26.74704,5.07058
-3.1960514,-0.4835752
-28.05444,-8.814732
-32.22443,-10.6381445
4.151952,1.7744966
22.949278,2.6901033
16.449194,-25.779942
20.490349,5.110664
22.448286,-23.041424
-16.075277,13.065341
10.204774,5.8848186
2.1024725,28.314833
-11.476137,8.250683
-14.608098,-12.889485
-15.678287,25.15129
4.62427,-0.061038848
-14.02792,-13.587579
-7.275304,-10.816799
-7.1131024,27.50101
21.984451,14.233129
-19.515902,-19.581486
-24.113321,-18.416817
-14.891724,26.559938
22.400768,20.465559
24.9818,-20.106228
-3.77258,22.627277
26.331985,9.570452
-13.031784,13.597375
-14.564671,20.987633
4.967733,-2.1566648
-3.590766,1.5535413
-20.901754,9.920122
-18.453838,-12.37694
-24.65994,15.658362
15.378597,-6.808259
-2.7609012,-31.5015
-12.652575,-7.8046675
-5.627398,-9.642134
4.7177453,30.769962
-4.805754,-8.060981
-18.810297,19.24309
5.927885,-15.984623
32.00785,-8.146615
-9.536844,9.937128
10.563956,-13.341347
7.255212,24.403378
-11.3122015,-6.9763765
-16.475311,27.308985
-9.3775015,1.4000796
19.632599,-11.206495
22.211164,19.906433
-22.589779,4.454041
1.7636995,12.9775915
-28.08882,17.608738
8.185518,-33.35238
21.257872,19.984526
-18.462463,26.203608
20.08411,-13.997123
-3.5181947,-4.2370687
25.46749,21.59975
-1.1594355,-33.7407
-9.653661,-8.170407
17.858646,-7.897973
9.028187,3.7105095
-14.628376,11.496914
25.079702,-2.4485905
-4.574185,-7.903026
-13.242893,23.096102
10.180482,-27.117626
17.555058,-17.052725
-5.813281,2.8183675
23.60558,-1.8619733
-4.093567,15.3920355
24.577093,-16.83027
-16.38388,-7.4577775
14.711144,17.135315
-0.73760164,-33.659096
-5.6221004,-1.764026
15.052825,30.02508
-11.694649,19.415533
21.79163,-14.592791
12.906068,22.889816
-27.895226,10.164717
-12.003097,-12.180428
17.439877,-26.34419
-5.981605,17.761072
-3.1680117,10.790578
-13.391371,-28.425262
-15.654158,15.411087
-22.284475,-17.077688
21.01971,20.064827
2.6322942,18.058119
-0.18575025,-30.494326
-24.939877,-5.681761
23.075583,-3.181997
13.304291,-17.141876
9.522665,-23.07492
-27.607569,-6.201776
30.151579,1.2648482
23.238995,-18.042849
-28.20129,-5.544544
4.839206,4.5938473
-9.496985,-7.3140526
10.527007,-6.212627
5.803348,2.0387213
4.634556,-18.819174
-13.85723,-14.778347
7.0370727,27.863007
30.827066,-8.678337
32.070873,5.9793587
-15.596597,-25.809435
6.172259,-31.460512
9.443198,-12.478782
-2.2544234,12.939244
-16.092089,-8.31383
7.2458434,-23.959766
26.814598,2.1024623
20.095934,13.4979925
26.145918,-3.6362786
-5.4368024,29.702978
2.394096,6.415652
18.83886,0.08680094
6.3873754,18.77882
-28.804173,-11.306983
5.7000356,30.22718
5.207423,-29.773617
-24.13151,11.708922
