,x_tsne,y_tsne
0,-25.91092,-12.492843
1,-17.098616,16.77616
2,-1.8561258,25.60923
3,6.126177,4.325919
4,28.301018,-18.438171
5,4.7484508,-26.831713
6,11.673217,13.813292
7,-7.583769,3.5749757
8,14.081326,-18.259249
9,19.708029,-17.338503
10,-21.34295,-25.167103
11,15.640042,10.013412
12,23.357918,12.613176
13,10.696761,-8.9767
14,-6.5497346,2.0757475
15,-2.8618522,-14.343781
16,0.4862547,22.338675
17,13.610628,-29.437822
18,25.047287,-10.800111
19,-12.845884,30.28435
20,-9.209787,-27.03825
21,20.511883,19.884045
22,-0.5740025,13.796065
23,21.313957,-19.517557
24,-16.794052,18.93183
25,-9.9905205,-6.0630274
26,-15.666936,-5.7754617
27,-1.2211381,-24.935215
28,19.691853,13.0123005
29,0.38596806,22.428719
30,-1.5845119,-11.634459
31,-23.416779,14.466568
32,17.617258,-27.337446
33,-12.541146,-3.0572484
34,-15.6014805,10.77253
35,19.480474,4.3194795
36,-5.7011847,-15.892719
37,-14.359208,-1.2043657
38,17.503017,24.63077
39,-23.140242,9.2898035
40,10.267909,-25.449574
41,-23.095766,-11.887939
42,-23.573355,13.087157
43,-2.6242805,22.449888
44,5.1442685,11.613282
45,-26.815489,8.2347975
46,-4.7615256,15.933474
47,-21.08654,4.276293
48,-19.345047,0.6672315
49,-6.602829,26.82432
50,30.078081,-9.762243
51,6.1834264,3.8832123
52,7.5502505,2.6065283
53,-19.458971,7.764432
54,-10.317449,-2.9140165
55,-16.307928,0.0419392
56,30.209785,-8.448184
57,-6.7898498,-26.905226
58,-16.90673,6.6363354
59,5.4507866,-3.3695147
60,11.297252,-26.01527
61,4.2642226,-3.827523
62,-4.992302,3.282122
63,-17.672585,-26.3091
64,-26.991735,-0.39383668
65,-10.415074,-2.348282
66,15.880298,23.815998
67,6.250376,1.2957739
68,7.9328933,-15.686841
69,8.789362,-28.107683
70,29.963312,-2.5766456
71,-7.462846,15.359625
72,7.5730114,-25.381037
73,-19.855576,17.141102
74,-15.40848,6.530191
75,-12.147164,-2.880847
76,-5.17187,-12.774091
77,-26.356653,16.512403
78,-16.500082,7.950031
79,-20.712584,14.15384
80,-7.954914,32.12199
81,-10.259454,31.041063
82,1.9832557,-25.374786
83,1.4471822,1.9052147
84,-7.908776,3.5693285
85,27.513689,-18.15299
86,-13.594798,23.173592
87,-10.72732,11.388506
88,-8.337394,-1.5589315
89,-12.089467,-20.771738
90,-9.242224,7.2189727
91,-7.9433928,12.123676
92,-14.768625,17.999218
93,4.8165555,-16.625628
